time,latitude,longitude,depth,mag,wilayah
2008-12-09 13:00:09.167248+00:00,-8.0780954,122.91657,187,4.2974459,"Flores Region, Indonesia"
2008-12-09 15:20:02.429316+00:00,-6.5858707,129.84265,10,4.2057573,Banda Sea
2008-12-09 15:31:47.900801+00:00,-2.8266661,139.42014,10,5.7276892,Near North Coast of Irian Jaya
2008-12-09 16:07:00.955353+00:00,-3.3179533,127.19987,72,5.0242439,"Seram, Indonesia"
2008-12-09 16:48:40.087642+00:00,0.99128848,127.80666,5,4.6902546,"Halmahera, Indonesia"
2008-12-09 17:34:59.546672+00:00,-5.8356805,130.1385,119,5.0305434,Banda Sea
2008-12-09 18:54:36.479394+00:00,-3.9119771,128.31363,44,2.9811132,"Seram, Indonesia"
2008-12-09 20:15:35.247385+00:00,3.6581745,119.42889,10,5.1496984,Celebes Sea
2008-12-09 21:02:05.567527+00:00,-9.2203321,107.56142,10,4.6074355,"South of Java, Indonesia"
2008-12-15 03:42:19.182406+00:00,-2.489151,140.5258,15,4.717708,Near North Coast of Irian Jaya
2008-12-15 10:12:07.383943+00:00,-6.0678439,105.41578,10,4.6504962,"Sunda Strait, Indonesia"
2008-12-15 10:29:28.030411+00:00,-6.0646911,103.64072,207,4.925552,"Southwest of Sumatra, Indonesia"
2008-12-15 21:18:07.940136+00:00,-3.0104959,100.7103,10,5.2038759,"Southern Sumatra, Indonesia"
2008-12-15 23:07:40.108902+00:00,-8.2671242,116.01611,154,3.4785442,"Sumbawa Region, Indonesia"
2008-12-16 02:48:37.416828+00:00,2.614038,127.93324,113,4.7131196,Northern Molucca Sea
2008-12-16 04:09:42.188486+00:00,3.5886936,127.81996,100,4.4495,"Talaud Islands, Indonesia"
2008-12-16 06:02:54.739698+00:00,-6.4427347,131.86157,47,4.9742496,"Tanimbar Islands Reg., Indonesia"
2008-12-17 00:53:48.338459+00:00,-7.3207574,119.98257,567,4.771095,Flores Sea
2008-12-17 00:55:25.211796+00:00,-7.6272545,120.11338,10,4.9414847,Flores Sea
2008-12-17 02:53:14.341821+00:00,-10.1048,125.55354,100,4.2072834,Timor Sea
2008-12-17 03:43:32.211031+00:00,-1.059921,136.64038,10,4.1599448,"Irian Jaya Region, Indonesia"
2008-12-17 10:54:19.131229+00:00,0.011487637,123.45159,113,3.6418212,"Minahassa Peninsula, Sulawesi"
2008-12-17 11:01:49.338222+00:00,4.822926,125.69318,10,5.8949176,"Talaud Islands, Indonesia"
2008-12-17 16:06:54.946973+00:00,-6.3234529,103.23236,10,5.4556373,"Southwest of Sumatra, Indonesia"
2008-12-17 22:26:16.140115+00:00,0.50580543,98.227768,10,4.4161756,"Northern Sumatra, Indonesia"
2008-12-17 23:14:10.779277+00:00,-5.8553243,104.14333,10,4.5067208,"Southern Sumatra, Indonesia"
2008-12-18 03:03:31.802612+00:00,1.3313775,122.31084,13,4.9849017,"Minahassa Peninsula, Sulawesi"
2008-12-18 15:50:19.033334+00:00,2.3810673,127.19943,95,5.1054735,Northern Molucca Sea
2008-12-18 21:18:32.908642+00:00,-7.9222341,110.48877,10,5.76378,"Java, Indonesia"
2008-12-18 22:07:26.236005+00:00,5.4816289,111.23575,510,4.8491678,South China Sea
2008-12-19 01:27:20.068688+00:00,-1.7604165,99.716385,22,5.0812934,"Southern Sumatra, Indonesia"
2008-12-19 04:04:04.423650+00:00,2.9468887,128.3257,40,4.9908584,"Halmahera, Indonesia"
2008-12-19 05:57:41.594159+00:00,-1.4394341,121.20647,10,3.5799384,"Sulawesi, Indonesia"
2008-12-19 08:06:15.443931+00:00,1.2907777,126.8979,66,5.1389317,Northern Molucca Sea
2008-12-19 13:09:17.990360+00:00,-0.013073993,122.52546,109,4.7188892,"Minahassa Peninsula, Sulawesi"
2008-12-20 00:02:53.275639+00:00,-4.4390411,102.25082,10,4.7672042,"Southern Sumatra, Indonesia"
2008-12-20 12:29:50.560118+00:00,-2.9521716,114.15508,374,4.5501511,Borneo
2008-12-20 13:11:48.122457+00:00,0.888255,126.81644,10,4.2038267,Northern Molucca Sea
2008-12-20 16:24:26.440558+00:00,-2.6787934,139.37943,10,5.2467403,Near North Coast of Irian Jaya
2008-12-20 17:25:14.687262+00:00,-4.3211293,124.36308,10,4.2962479,Banda Sea
